Patch_name,Percentage_of_tissue,Mean,Std
patch_0002982.png,19.45,0.898,0.092
patch_0002257.png,18.95,0.892,0.117
patch_0003417.png,13.3,0.896,0.114
patch_0003865.png,26.58,0.891,0.089
patch_0000970.png,11.19,0.899,0.126
patch_0000502.png,15.43,0.896,0.122
patch_0001342.png,34.38,0.88,0.102
patch_0001084.png,50.26,0.767,0.243
patch_0001723.png,16.06,0.901,0.082
patch_0000163.png,11.46,0.878,0.188
patch_0000615.png,19.9,0.811,0.274
patch_0002140.png,17.33,0.898,0.105
patch_0003700.png,17.6,0.901,0.077
patch_0001846.png,10.85,0.9,0.124
patch_0000274.png,13.41,0.901,0.106
patch_0002521.png,23.55,0.899,0.077
patch_0002953.png,14.89,0.877,0.169
patch_0002286.png,11.49,0.902,0.117
patch_0005013.png,17.04,0.897,0.107
patch_0004653.png,31.24,0.868,0.152
patch_0003239.png,16.35,0.901,0.1
patch_0002479.png,30.88,0.863,0.142
patch_0004232.png,36.35,0.788,0.257
patch_0004595.png,28.43,0.848,0.194
patch_0000828.png,11.4,0.897,0.079
patch_0004936.png,38.57,0.862,0.146
patch_0004544.png,21.31,0.898,0.103
patch_0004682.png,22.46,0.874,0.173
patch_0004125.png,18.21,0.889,0.105
patch_0004460.png,17.31,0.899,0.116
patch_0004812.png,24.29,0.894,0.108
patch_0001499.png,19.57,0.894,0.073
patch_0003819.png,12.11,0.901,0.133
patch_0004001.png,21.13,0.9,0.073
patch_0005137.png,57.26,0.854,0.1
patch_0004777.png,42.2,0.858,0.14
patch_0001448.png,11.56,0.887,0.157
patch_0004316.png,10.15,0.893,0.171
patch_0000208.png,13.2,0.891,0.147
patch_0000096.png,14.59,0.896,0.128
patch_0000731.png,16.79,0.893,0.106
patch_0004188.png,14.79,0.89,0.153
patch_0002064.png,58.91,0.529,0.38
patch_0003624.png,19.35,0.879,0.131
patch_0001510.png,14.93,0.895,0.128
patch_0001962.png,21.73,0.9,0.097
patch_0000885.png,11.61,0.901,0.06
patch_0000350.png,39.49,0.883,0.106
patch_0003990.png,27.03,0.868,0.143
patch_0003245.png,24.81,0.88,0.123
patch_0002877.png,14.71,0.894,0.119
patch_0002373.png,20.58,0.898,0.082
patch_0003941.png,17.63,0.901,0.068
patch_0003533.png,20.45,0.89,0.106
patch_0003294.png,40.33,0.643,0.381
patch_0000426.png,30.71,0.889,0.088
patch_0004538.png,20.34,0.892,0.126
patch_0003152.png,15.51,0.885,0.148
patch_0002712.png,20.63,0.89,0.121
patch_0004159.png,16.4,0.901,0.109
patch_0000047.png,14.42,0.899,0.126
patch_0004815.png,25.9,0.873,0.16
patch_0004467.png,16.36,0.894,0.142
patch_0001339.png,41.29,0.846,0.154
patch_0000118.png,19.06,0.902,0.087
patch_0001758.png,17.14,0.899,0.086
patch_0004006.png,14.03,0.896,0.138
patch_0004770.png,25.17,0.881,0.114
patch_0001789.png,16.44,0.889,0.14
patch_0005130.png,30.6,0.886,0.088
patch_0004311.png,24.7,0.89,0.103
patch_0004628.png,21.22,0.898,0.092
patch_0001176.png,15.85,0.89,0.123
patch_0000736.png,36.78,0.875,0.08
patch_0005068.png,57.75,0.835,0.138
patch_0000091.png,21.67,0.862,0.202
patch_0003623.png,21.62,0.897,0.068
patch_0003184.png,23.37,0.848,0.184
patch_0002063.png,13.02,0.862,0.206
patch_0001965.png,13.54,0.893,0.137
patch_0001517.png,18.38,0.896,0.091
patch_0004249.png,17.7,0.893,0.117
patch_0002402.png,13.03,0.901,0.109
patch_0003242.png,10.56,0.892,0.139
patch_0003997.png,24.7,0.895,0.069
patch_0003293.png,99.05,0.159,0.19
