Patch_name,Percentage_of_tissue,Mean,Std
patch_0033897.png,59.7,0.892,0.055
patch_0118374.png,81.44,0.807,0.191
patch_0082596.png,70.24,0.858,0.107
patch_0040447.png,93.11,0.835,0.149
patch_0040835.png,39.82,0.889,0.086
patch_0045319.png,47.31,0.9,0.081
patch_0090036.png,94.68,0.861,0.1
patch_0021145.png,69.91,0.879,0.105
patch_0114313.png,76.35,0.863,0.1
patch_0106114.png,77.61,0.831,0.139
patch_0033342.png,79.52,0.883,0.093
patch_0082231.png,96.88,0.888,0.051
patch_0001455.png,51.23,0.901,0.065
patch_0072885.png,93.67,0.881,0.063
patch_0001827.png,18.13,0.901,0.055
patch_0065609.png,99.49,0.865,0.092
patch_0052640.png,37.21,0.888,0.082
patch_0090791.png,88.35,0.847,0.11
patch_0060157.png,62.19,0.892,0.064
patch_0012012.png,24.97,0.894,0.095
patch_0094128.png,77.72,0.876,0.083
patch_0115921.png,40.32,0.852,0.155
patch_0115553.png,65.85,0.797,0.18
patch_0091676.png,75.58,0.86,0.122
patch_0020705.png,33.0,0.897,0.086
patch_0073510.png,91.86,0.87,0.096
patch_0073962.png,85.79,0.868,0.109
patch_0086488.png,80.27,0.887,0.059
patch_0044559.png,60.62,0.815,0.184
patch_0119534.png,76.59,0.836,0.065
patch_0041207.png,73.58,0.87,0.105
patch_0068789.png,74.22,0.887,0.063
patch_0119946.png,73.85,0.69,0.096
patch_0048299.png,86.91,0.749,0.209
patch_0061717.png,37.04,0.896,0.081
patch_0053000.png,67.92,0.883,0.076
patch_0064049.png,77.61,0.884,0.072
patch_0083803.png,92.48,0.841,0.141
patch_0032502.png,67.13,0.84,0.125
patch_0083471.png,61.42,0.851,0.13
patch_0119293.png,48.04,0.893,0.068
patch_0032970.png,67.28,0.87,0.137
patch_0107754.png,89.33,0.863,0.099
patch_0005939.png,20.34,0.898,0.052
patch_0113318.png,64.11,0.856,0.107
patch_0011107.png,51.2,0.896,0.058
patch_0089988.png,82.3,0.858,0.104
patch_0038489.png,73.92,0.894,0.059
patch_0116446.png,81.19,0.645,0.12
patch_0116834.png,96.0,0.691,0.227
patch_0023610.png,55.37,0.885,0.077
patch_0092763.png,91.25,0.886,0.055
patch_0108181.png,69.92,0.878,0.095
patch_0070877.png,94.23,0.852,0.117
patch_0070405.png,75.89,0.876,0.098
patch_0042312.png,37.33,0.862,0.155
patch_0062602.png,35.33,0.895,0.068
patch_0050115.png,45.38,0.895,0.091
patch_0108626.png,83.6,0.887,0.058
patch_0034349.png,47.0,0.885,0.114
patch_0003300.png,46.32,0.889,0.071
patch_0018199.png,18.66,0.9,0.057
patch_0080564.png,49.08,0.878,0.123
patch_0031417.png,51.93,0.882,0.08
patch_0080916.png,85.48,0.87,0.085
patch_0104641.png,92.23,0.867,0.083
patch_0043920.png,82.82,0.875,0.105
patch_0081483.png,73.6,0.849,0.115
patch_0043552.png,80.33,0.864,0.12
patch_0030982.png,44.24,0.879,0.094
patch_0074969.png,89.08,0.879,0.086
patch_0071245.png,81.51,0.887,0.064
patch_0093123.png,51.64,0.891,0.053
patch_0117206.png,97.26,0.863,0.085
patch_0112558.png,39.74,0.899,0.064
patch_0105001.png,51.01,0.848,0.143
patch_0081324.png,75.4,0.875,0.096
patch_0030257.png,65.61,0.846,0.156
patch_0002932.png,13.75,0.893,0.113
patch_0071990.png,94.82,0.855,0.11
patch_0002540.png,17.56,0.898,0.06
patch_0035509.png,45.7,0.886,0.093
patch_0084808.png,94.4,0.752,0.254
patch_0051755.png,43.07,0.892,0.078
patch_0109066.png,41.27,0.876,0.113
patch_0093684.png,89.72,0.884,0.061
patch_0091217.png,78.96,0.89,0.062
patch_0020364.png,42.1,0.894,0.058
patch_0115132.png,82.29,0.83,0.133
patch_0056498.png,71.5,0.884,0.071
patch_0094549.png,88.17,0.748,0.198
patch_0025848.png,60.84,0.884,0.093
patch_0012801.png,67.67,0.746,0.259
patch_0012473.png,65.51,0.889,0.057
patch_0119155.png,98.65,0.833,0.068
patch_0041666.png,24.87,0.897,0.104
patch_0107492.png,81.41,0.862,0.121
patch_0044138.png,77.49,0.89,0.063
patch_0073171.png,88.12,0.856,0.105
patch_0115695.png,84.5,0.846,0.119
patch_0064428.png,62.69,0.881,0.096
patch_0053813.png,82.65,0.884,0.065
patch_0053461.png,47.68,0.89,0.085
patch_0061376.png,85.24,0.88,0.088
patch_0107335.png,34.23,0.895,0.097
patch_0076188.png,61.52,0.881,0.097
patch_0032163.png,63.37,0.866,0.11
patch_0083010.png,91.67,0.857,0.131
patch_0098289.png,36.96,0.899,0.074
patch_0000674.png,18.92,0.896,0.058
patch_0102819.png,29.87,0.88,0.117
patch_0072731.png,79.9,0.884,0.063
patch_0001793.png,25.2,0.891,0.074
patch_0045778.png,58.98,0.891,0.086
patch_0040026.png,96.49,0.852,0.126
patch_0033084.png,81.13,0.879,0.072
patch_0060291.png,78.99,0.721,0.214
patch_0013233.png,27.38,0.896,0.082
patch_0095309.png,68.45,0.899,0.055
patch_0114772.png,26.68,0.889,0.081
patch_0052586.png,33.27,0.884,0.101
patch_0090457.png,72.48,0.878,0.085
patch_0021956.png,84.41,0.878,0.075
patch_0090825.png,87.81,0.876,0.099
patch_0021524.png,45.27,0.891,0.086
patch_0001034.png,75.58,0.884,0.067
patch_0072096.png,25.25,0.898,0.068
patch_0082650.png,89.32,0.875,0.075
patch_0040781.png,34.9,0.893,0.092
patch_0106575.png,36.54,0.884,0.099
patch_0106907.png,86.88,0.87,0.098
patch_0013594.png,77.03,0.885,0.063
patch_0060536.png,61.58,0.868,0.116
patch_0021283.png,79.6,0.881,0.088
patch_0052221.png,75.56,0.894,0.075
patch_0065268.png,65.8,0.89,0.051
patch_0100499.png,60.74,0.867,0.109
patch_0002686.png,25.27,0.896,0.052
patch_0071624.png,66.91,0.878,0.088
patch_0030191.png,30.04,0.887,0.113
patch_0043133.png,82.98,0.882,0.085
patch_0010326.png,51.9,0.901,0.054
patch_0112139.png,67.34,0.873,0.101
patch_0063384.png,94.77,0.846,0.114
patch_0117667.png,77.11,0.849,0.095
patch_0022431.png,53.14,0.851,0.138
patch_0093930.png,73.89,0.859,0.128
patch_0022843.png,41.55,0.889,0.074
patch_0051493.png,83.68,0.845,0.129
patch_0093542.png,63.05,0.868,0.119
patch_0035168.png,46.4,0.897,0.074
patch_0071183.png,63.15,0.894,0.068
patch_0081745.png,97.15,0.876,0.067
patch_0043694.png,68.03,0.85,0.125
patch_0030636.png,41.0,0.885,0.084
patch_0105812.png,72.63,0.848,0.115
patch_0105460.png,74.97,0.859,0.07
patch_0054818.png,76.63,0.883,0.086
patch_0063423.png,90.01,0.887,0.059
patch_0010481.png,71.67,0.88,0.074
patch_0063851.png,99.25,0.873,0.071
patch_0051334.png,74.89,0.874,0.092
patch_0109407.png,71.17,0.835,0.143
patch_0109875.png,29.48,0.884,0.108
patch_0108992.png,48.61,0.892,0.078
patch_0023271.png,47.5,0.885,0.05
patch_0092302.png,59.75,0.89,0.083
patch_0014238.png,63.8,0.887,0.061
patch_0116027.png,54.16,0.792,0.143
patch_0113779.png,72.63,0.848,0.12
patch_0011566.png,69.33,0.887,0.061
patch_0011914.png,36.69,0.881,0.115
patch_0042773.png,95.93,0.869,0.092
patch_0006798.png,38.22,0.901,0.055
patch_0070064.png,89.73,0.862,0.101
patch_0116780.png,61.75,0.801,0.184
patch_0050574.png,92.59,0.877,0.069
patch_0108247.png,83.14,0.859,0.111
patch_0050906.png,56.88,0.749,0.264
patch_0062263.png,43.18,0.884,0.118
patch_0026288.png,90.37,0.858,0.104
patch_0104220.png,74.44,0.88,0.08
patch_0080105.png,93.12,0.857,0.102
patch_0031076.png,84.81,0.872,0.097
patch_0003761.png,19.84,0.898,0.058
patch_0034728.png,42.45,0.875,0.115
patch_0104924.png,84.09,0.857,0.099
patch_0104556.png,98.35,0.857,0.109
patch_0006749.png,60.44,0.875,0.08
patch_0080673.png,71.21,0.869,0.089
patch_0031700.png,47.83,0.894,0.072
patch_0059949.png,71.37,0.862,0.099
patch_0101208.png,80.48,0.862,0.113
patch_0108531.png,83.61,0.869,0.086
patch_0050202.png,70.96,0.884,0.078
patch_0108943.png,76.82,0.881,0.075
patch_0062515.png,79.16,0.874,0.095
patch_0038039.png,41.79,0.883,0.115
patch_0062967.png,97.44,0.86,0.096
patch_0018529.png,20.82,0.894,0.085
patch_0042005.png,98.25,0.855,0.122
patch_0070712.png,68.41,0.886,0.084
patch_0092806.png,83.72,0.873,0.095
patch_0023507.png,82.66,0.871,0.084
patch_0092474.png,26.56,0.899,0.071
patch_0108296.png,70.09,0.854,0.112
patch_0116751.png,86.9,0.842,0.109
patch_0026259.png,85.37,0.885,0.078
patch_0011210.png,35.3,0.897,0.081
patch_0039679.png,65.95,0.827,0.177
patch_0063355.png,28.1,0.892,0.104
patch_0022892.png,25.49,0.896,0.065
patch_0109371.png,55.69,0.863,0.118
patch_0093593.png,65.14,0.827,0.156
patch_0051442.png,58.65,0.892,0.053
patch_0051830.png,82.44,0.845,0.159
patch_0066879.png,74.79,0.864,0.097
patch_0100448.png,25.72,0.899,0.089
patch_0002657.png,56.86,0.881,0.07
patch_0081033.png,44.09,0.895,0.108
patch_0030140.png,84.56,0.884,0.06
patch_0007109.png,59.75,0.888,0.057
patch_0105316.png,78.59,0.867,0.097
patch_0010450.png,54.93,0.826,0.152
patch_0063880.png,72.87,0.877,0.094
patch_0096918.png,95.11,0.875,0.069
patch_0027419.png,40.35,0.883,0.113
patch_0117111.png,58.07,0.819,0.157
patch_0022347.png,20.61,0.899,0.068
patch_0120158.png,100.0,0.84,0.062
patch_0093234.png,81.46,0.884,0.072
patch_0071152.png,78.05,0.878,0.071
patch_0043645.png,60.74,0.715,0.294
patch_0081794.png,53.64,0.889,0.087
patch_0019369.png,63.33,0.886,0.081
patch_0057209.png,72.43,0.894,0.054
patch_0060240.png,64.44,0.842,0.134
patch_0052925.png,97.18,0.886,0.052
patch_0090486.png,84.5,0.853,0.107
patch_0052557.png,77.48,0.884,0.105
patch_0087678.png,37.91,0.892,0.099
patch_0001742.png,33.34,0.897,0.07
patch_0033055.png,29.55,0.891,0.084
patch_0069579.png,68.81,0.876,0.097
patch_0082126.png,94.9,0.855,0.094
patch_0106203.png,89.51,0.865,0.081
patch_0013937.png,81.81,0.875,0.08
patch_0060995.png,80.33,0.696,0.275
patch_0049069.png,76.56,0.883,0.069
patch_0013545.png,51.48,0.896,0.061
patch_0114004.png,57.36,0.827,0.158
patch_0090321.png,80.91,0.868,0.091
patch_0021252.png,38.65,0.892,0.077
patch_0072047.png,65.98,0.89,0.063
patch_0028919.png,89.52,0.876,0.074
patch_0099418.png,67.39,0.864,0.113
patch_0077719.png,57.8,0.896,0.057
patch_0040750.png,92.93,0.83,0.145
patch_0118063.png,40.92,0.828,0.192
patch_0082681.png,82.19,0.879,0.067
patch_0107443.png,57.42,0.877,0.09
patch_0107831.png,29.33,0.898,0.084
patch_0068339.png,93.03,0.847,0.105
patch_0032615.png,57.6,0.888,0.083
patch_0083766.png,50.92,0.882,0.097
patch_0119184.png,99.8,0.808,0.064
patch_0000102.png,17.81,0.897,0.065
patch_0086038.png,81.52,0.873,0.095
patch_0053317.png,65.75,0.891,0.056
patch_0061872.png,39.61,0.892,0.058
patch_0061400.png,76.06,0.87,0.104
patch_0094598.png,86.67,0.887,0.056
patch_0056449.png,77.59,0.888,0.069
patch_0025899.png,46.12,0.895,0.088
patch_0041110.png,31.02,0.897,0.056
patch_0119623.png,92.61,0.832,0.061
patch_0076159.png,78.32,0.844,0.117
patch_0073607.png,42.25,0.894,0.079
patch_0098258.png,73.08,0.874,0.084
patch_0020860.png,26.8,0.891,0.082
patch_0091561.png,72.99,0.864,0.115
patch_0020412.png,56.54,0.891,0.06
patch_0091913.png,83.43,0.887,0.059
patch_0017829.png,25.06,0.899,0.06
patch_0115644.png,52.25,0.895,0.072
patch_0012305.png,58.31,0.89,0.074
patch_0048629.png,87.77,0.836,0.113
patch_0109710.png,77.89,0.878,0.082
patch_0051023.png,86.23,0.824,0.181
patch_0022081.png,84.62,0.869,0.083
patch_0039218.png,92.69,0.861,0.097
patch_0063734.png,90.44,0.879,0.071
patch_0010796.png,43.47,0.885,0.09
patch_0112589.png,68.18,0.883,0.074
patch_0007568.png,64.82,0.875,0.096
patch_0105777.png,80.21,0.864,0.092
patch_0043583.png,73.88,0.871,0.105
patch_0081452.png,75.57,0.883,0.074
patch_0081820.png,86.46,0.876,0.077
patch_0030521.png,81.73,0.848,0.137
