Patch_name,Percentage_of_tissue,Mean,Std
patch_0038137.png,82.88,0.887,0.101
patch_0026882.png,84.45,0.875,0.107
patch_0006647.png,93.18,0.867,0.104
patch_0018380.png,92.26,0.896,0.084
patch_0003119.png,39.81,0.885,0.119
patch_0034150.png,72.96,0.891,0.087
patch_0023409.png,88.39,0.89,0.077
patch_0014440.png,43.7,0.895,0.114
patch_0026357.png,39.36,0.902,0.099
patch_0038690.png,54.6,0.872,0.167
patch_0018855.png,66.92,0.879,0.118
patch_0018427.png,85.44,0.885,0.086
patch_0047655.png,62.59,0.876,0.117
patch_0035710.png,86.32,0.851,0.137
patch_0002759.png,85.26,0.347,0.348
patch_0007007.png,97.17,0.888,0.078
patch_0039777.png,79.06,0.871,0.072
patch_0046015.png,85.87,0.867,0.106
patch_0019267.png,46.56,0.872,0.159
patch_0027517.png,84.78,0.844,0.161
patch_0027965.png,87.02,0.879,0.105
patch_0015200.png,68.1,0.901,0.077
patch_0022249.png,36.07,0.894,0.121
patch_0036605.png,56.93,0.768,0.271
patch_0004112.png,68.72,0.888,0.088
patch_0008175.png,44.54,0.899,0.124
patch_0021889.png,93.07,0.9,0.061
patch_0028465.png,97.33,0.897,0.061
patch_0028817.png,69.63,0.897,0.083
patch_0045100.png,62.69,0.898,0.091
patch_0013839.png,74.78,0.896,0.108
patch_0049167.png,77.51,0.765,0.197
patch_0024870.png,71.35,0.864,0.126
patch_0024402.png,97.94,0.898,0.059
patch_0016315.png,84.36,0.888,0.099
patch_0009735.png,89.66,0.891,0.094
patch_0048080.png,65.74,0.899,0.084
patch_0025997.png,79.17,0.888,0.089
patch_0029582.png,78.26,0.876,0.111
patch_0037045.png,72.59,0.897,0.086
patch_0009092.png,49.93,0.9,0.076
patch_0017927.png,81.35,0.895,0.07
patch_0025242.png,74.68,0.84,0.155
patch_0048727.png,63.64,0.834,0.167
patch_0044740.png,54.24,0.874,0.136
patch_0007814.png,97.22,0.895,0.069
patch_0007466.png,28.04,0.874,0.195
patch_0002338.png,42.32,0.901,0.098
patch_0035371.png,78.38,0.845,0.143
patch_0039316.png,90.3,0.885,0.092
patch_0010698.png,74.49,0.767,0.261
patch_0030388.png,56.59,0.899,0.09
patch_0019606.png,94.45,0.879,0.084
patch_0046806.png,78.25,0.874,0.105
patch_0046474.png,57.79,0.729,0.294
patch_0022628.png,41.53,0.892,0.129
patch_0015661.png,60.5,0.901,0.082
patch_0027176.png,60.96,0.865,0.13
patch_0026091.png,98.86,0.786,0.213
patch_0038556.png,94.25,0.863,0.106
patch_0038924.png,87.75,0.88,0.081
patch_0014786.png,80.13,0.831,0.133
patch_0034943.png,67.48,0.883,0.104
patch_0047593.png,90.45,0.864,0.092
patch_0034531.png,96.27,0.265,0.303
patch_0006226.png,86.01,0.9,0.063
patch_0026736.png,97.23,0.87,0.106
patch_0014021.png,90.32,0.895,0.075
patch_0023068.png,98.91,0.858,0.117
patch_0034296.png,79.16,0.884,0.118
patch_0047234.png,51.89,0.873,0.155
