Patch_name,Percentage_of_tissue,Mean,Std
patch_0012322.png,99.91,0.844,0.094
patch_0012485.png,98.24,0.61,0.269
patch_0013562.png,99.44,0.621,0.232
patch_0015329.png,99.08,0.746,0.187
patch_0010477.png,20.97,0.886,0.092
patch_0007689.png,40.68,0.835,0.175
patch_0003797.png,32.38,0.864,0.101
patch_0014569.png,69.35,0.887,0.064
patch_0013103.png,95.88,0.855,0.104
patch_0004828.png,80.66,0.83,0.12
patch_0012743.png,27.21,0.892,0.082
patch_0014108.png,100.0,0.196,0.221
patch_0011656.png,86.29,0.848,0.115
patch_0003823.png,25.72,0.883,0.074
patch_0003451.png,97.86,0.667,0.278
patch_0010016.png,46.85,0.866,0.104
patch_0015748.png,98.92,0.776,0.158
patch_0002567.png,42.29,0.87,0.11
patch_0007239.png,99.74,0.378,0.298
patch_0010760.png,76.05,0.851,0.11
patch_0011687.png,99.38,0.797,0.162
patch_0006479.png,60.87,0.738,0.279
patch_0011120.png,100.0,0.255,0.238
patch_0003480.png,76.49,0.812,0.117
patch_0009979.png,22.9,0.891,0.073
patch_0012035.png,100.0,0.153,0.182
patch_0013675.png,19.91,0.902,0.09
patch_0006018.png,18.64,0.895,0.061
patch_0011541.png,72.1,0.862,0.096
patch_0007658.png,38.82,0.86,0.141
patch_0010301.png,100.0,0.155,0.197
patch_0016938.png,39.7,0.869,0.122
patch_0012826.png,30.94,0.895,0.059
patch_0012454.png,64.56,0.883,0.083
patch_0009821.png,78.09,0.748,0.264
patch_0009453.png,100.0,0.165,0.205
patch_0005393.png,77.66,0.826,0.144
patch_0004274.png,45.41,0.886,0.058
patch_0008213.png,100.0,0.17,0.203
patch_0016073.png,25.67,0.896,0.078
patch_0007361.png,69.43,0.738,0.291
patch_0015166.png,93.44,0.842,0.114
patch_0014081.png,99.85,0.727,0.153
patch_0006953.png,45.67,0.882,0.093
patch_0006521.png,99.67,0.864,0.08
patch_0011078.png,31.86,0.87,0.142
patch_0014726.png,95.61,0.879,0.056
patch_0006286.png,32.88,0.862,0.156
patch_0004615.png,47.03,0.853,0.116
patch_0013899.png,99.35,0.834,0.125
patch_0008672.png,99.77,0.243,0.241
patch_0016860.png,26.66,0.866,0.172
patch_0009032.png,100.0,0.292,0.246
patch_0005055.png,94.95,0.797,0.149
patch_0009795.png,56.84,0.881,0.078
patch_0014892.png,94.3,0.863,0.104
patch_0006140.png,27.04,0.901,0.085
patch_0011419.png,99.93,0.53,0.279
patch_0007700.png,28.56,0.817,0.227
patch_0010259.png,24.16,0.898,0.088
patch_0015507.png,80.48,0.867,0.099
patch_0015271.png,81.45,0.878,0.069
patch_0010288.png,34.7,0.815,0.243
patch_0007076.png,13.85,0.9,0.061
patch_0006191.png,23.62,0.855,0.193
patch_0018456.png,41.94,0.874,0.073
patch_0014431.png,100.0,0.76,0.181
patch_0014843.png,99.17,0.803,0.152
patch_0006636.png,29.35,0.888,0.067
patch_0014396.png,23.83,0.89,0.084
patch_0005084.png,80.63,0.854,0.11
patch_0017956.png,21.39,0.898,0.06
patch_0009744.png,41.56,0.894,0.068
patch_0013848.png,70.24,0.833,0.15
patch_0016364.png,40.03,0.87,0.132
patch_0008104.png,76.34,0.665,0.275
patch_0004163.png,96.29,0.81,0.132
patch_0006982.png,15.86,0.898,0.078
patch_0014050.png,14.2,0.9,0.057
patch_0006257.png,84.28,0.871,0.088
patch_0015610.png,91.14,0.838,0.123
patch_0007865.png,60.19,0.837,0.157
patch_0007417.png,16.08,0.898,0.096
patch_0008917.png,100.0,0.352,0.231
patch_0008565.png,79.04,0.883,0.07
patch_0004502.png,78.07,0.873,0.052
patch_0004970.png,80.07,0.82,0.137
patch_0009482.png,25.15,0.894,0.077
patch_0015880.png,76.56,0.85,0.114
patch_0007152.png,99.57,0.376,0.322
patch_0006712.png,59.69,0.778,0.205
patch_0014967.png,98.68,0.766,0.216
patch_0014515.png,97.11,0.857,0.099
patch_0005607.png,98.82,0.839,0.115
patch_0009660.png,79.46,0.864,0.1
patch_0008020.png,20.12,0.894,0.079
patch_0008787.png,94.45,0.816,0.183
patch_0014174.png,100.0,0.816,0.131
patch_0007533.png,21.82,0.887,0.147
patch_0007941.png,11.32,0.814,0.192
patch_0015734.png,22.77,0.885,0.103
patch_0007294.png,10.5,0.902,0.051
patch_0016186.png,40.05,0.869,0.123
patch_0008833.png,97.16,0.867,0.093
patch_0004854.png,99.87,0.734,0.195
patch_0016621.png,58.53,0.883,0.061
patch_0004381.png,20.44,0.88,0.067
patch_0005266.png,18.6,0.896,0.08
patch_0009201.png,87.79,0.872,0.079
patch_0012098.png,24.39,0.894,0.066
patch_0017061.png,99.39,0.673,0.199
patch_0012049.png,76.02,0.825,0.161
patch_0009577.png,80.76,0.88,0.085
patch_0009905.png,43.68,0.885,0.102
patch_0005962.png,86.9,0.773,0.197
patch_0005510.png,98.79,0.811,0.15
patch_0004885.png,22.71,0.902,0.061
patch_0013609.png,14.73,0.895,0.057
patch_0016157.png,69.42,0.854,0.11
patch_0007990.png,42.27,0.869,0.126
patch_0007245.png,71.75,0.799,0.211
patch_0014602.png,43.11,0.888,0.057
patch_0006405.png,84.98,0.794,0.163
patch_0006877.png,11.4,0.902,0.054
patch_0016536.png,20.39,0.902,0.075
patch_0016944.png,54.6,0.821,0.162
patch_0013268.png,100.0,0.18,0.207
patch_0008756.png,29.16,0.836,0.227
patch_0016291.png,97.09,0.776,0.161
patch_0012428.png,99.92,0.658,0.214
patch_0009116.png,27.49,0.889,0.101
patch_0014263.png,100.0,0.776,0.16
patch_0006064.png,55.62,0.828,0.157
patch_0007183.png,70.74,0.879,0.092
patch_0015851.png,94.61,0.875,0.07
patch_0015423.png,97.77,0.828,0.134
patch_0007624.png,18.03,0.891,0.074
patch_0015384.png,97.1,0.834,0.145
patch_0011004.png,100.0,0.176,0.2
patch_0012111.png,100.0,0.375,0.27
patch_0009388.png,100.0,0.26,0.245
patch_0005448.png,38.39,0.869,0.112
patch_0004208.png,35.19,0.845,0.101
patch_0011817.png,99.47,0.486,0.255
patch_0011465.png,100.0,0.158,0.181
patch_0015909.png,24.89,0.897,0.093
patch_0010582.png,99.85,0.582,0.311
patch_0013330.png,22.96,0.892,0.073
patch_0004669.png,99.74,0.779,0.162
patch_0012570.png,56.76,0.873,0.112
patch_0012902.png,100.0,0.158,0.195
patch_0005029.png,71.29,0.797,0.167
patch_0009738.png,81.76,0.56,0.369
patch_0012206.png,100.0,0.157,0.205
patch_0013446.png,14.27,0.902,0.069
patch_0016318.png,98.1,0.87,0.073
patch_0010921.png,100.0,0.19,0.215
patch_0010553.png,18.38,0.891,0.077
patch_0011313.png,91.23,0.732,0.207
patch_0008519.png,98.86,0.396,0.316
patch_0013780.png,99.87,0.348,0.321
patch_0013027.png,97.46,0.865,0.084
patch_0009359.png,49.89,0.891,0.09
patch_0005499.png,28.09,0.881,0.08
patch_0012667.png,100.0,0.162,0.198
patch_0003575.png,35.39,0.873,0.115
patch_0003907.png,34.19,0.898,0.079
patch_0011772.png,29.18,0.879,0.128
patch_0010695.png,77.72,0.83,0.136
patch_0007819.png,99.58,0.352,0.262
patch_0010132.png,94.15,0.712,0.228
patch_0014512.png,95.02,0.877,0.067
