Patch_name,Percentage_of_tissue,Mean,Std
patch_0001765.png,99.03,0.788,0.174
patch_0033072.png,98.53,0.834,0.119
patch_0045029.png,99.97,0.837,0.112
patch_0040777.png,99.96,0.784,0.134
patch_0013562.png,99.71,0.673,0.187
patch_0013910.png,100.0,0.641,0.217
patch_0024959.png,99.69,0.744,0.168
patch_0021275.png,99.93,0.787,0.153
patch_0020392.png,99.83,0.747,0.147
patch_0012485.png,99.5,0.823,0.129
patch_0041690.png,99.88,0.753,0.163
patch_0032632.png,100.0,0.559,0.271
patch_0000125.png,98.45,0.783,0.171
patch_0020435.png,99.83,0.78,0.158
patch_0020847.png,99.91,0.85,0.098
patch_0012322.png,99.17,0.816,0.132
patch_0032195.png,99.46,0.804,0.138
patch_0041137.png,99.91,0.78,0.138
patch_0044669.png,99.93,0.786,0.14
patch_0000682.png,99.36,0.786,0.158
patch_0023287.png,99.73,0.78,0.152
patch_0011590.png,97.78,0.616,0.221
patch_0031727.png,99.5,0.819,0.129
patch_0042785.png,100.0,0.708,0.197
patch_0003030.png,95.84,0.872,0.077
patch_0034079.png,100.0,0.679,0.203
patch_0023952.png,99.76,0.708,0.165
patch_0023520.png,99.75,0.801,0.148
patch_0014569.png,99.91,0.808,0.128
patch_0011237.png,98.27,0.811,0.135
patch_0042022.png,99.32,0.777,0.137
patch_0031080.png,99.01,0.726,0.163
patch_0003797.png,99.81,0.82,0.15
patch_0035639.png,99.64,0.861,0.085
patch_0002670.png,99.04,0.849,0.096
patch_0030167.png,99.89,0.831,0.112
patch_0027399.png,98.96,0.829,0.125
patch_0007689.png,98.76,0.859,0.089
patch_0043662.png,100.0,0.833,0.118
patch_0010805.png,99.45,0.843,0.112
patch_0010477.png,99.86,0.791,0.147
patch_0015329.png,90.75,0.696,0.244
patch_0022360.png,99.86,0.836,0.112
patch_0000936.png,98.59,0.794,0.156
patch_0000544.png,94.1,0.885,0.061
patch_0032253.png,99.96,0.848,0.095
patch_0012743.png,95.48,0.834,0.117
patch_0020054.png,99.83,0.818,0.117
patch_0044208.png,99.25,0.796,0.148
patch_0041924.png,99.65,0.841,0.108
patch_0041556.png,99.77,0.844,0.102
patch_0032986.png,99.81,0.863,0.086
patch_0004828.png,97.84,0.863,0.096
patch_0033861.png,99.71,0.833,0.12
patch_0033413.png,100.0,0.761,0.161
patch_0001304.png,97.96,0.852,0.102
patch_0049388.png,90.43,0.807,0.166
patch_0040316.png,99.93,0.784,0.156
patch_0045448.png,100.0,0.784,0.16
patch_0036898.png,99.96,0.751,0.169
patch_0021614.png,97.1,0.861,0.087
patch_0013103.png,99.91,0.811,0.139
patch_0030506.png,100.0,0.811,0.127
patch_0019088.png,99.56,0.808,0.138
patch_0030974.png,99.12,0.783,0.182
patch_0002211.png,99.78,0.846,0.105
patch_0035258.png,98.99,0.868,0.087
patch_0043203.png,99.61,0.715,0.179
patch_0022701.png,100.0,0.76,0.168
patch_0015748.png,99.94,0.854,0.093
patch_0039598.png,99.87,0.834,0.113
patch_0010016.png,99.69,0.862,0.089
patch_0034418.png,99.95,0.794,0.155
patch_0003451.png,98.99,0.887,0.053
patch_0003823.png,96.74,0.803,0.143
patch_0031346.png,99.91,0.834,0.121
patch_0011656.png,100.0,0.829,0.111
patch_0014108.png,99.8,0.871,0.077
patch_0023141.png,99.93,0.837,0.113
patch_0031893.png,100.0,0.73,0.182
patch_0042443.png,100.0,0.762,0.158
patch_0042831.png,99.73,0.835,0.122
patch_0003480.png,99.49,0.698,0.225
