Patch_name,Percentage_of_tissue,Mean,Std
patch_0011209.png,45.6,0.803,0.152
patch_0026240.png,44.01,0.788,0.151
patch_0014925.png,92.2,0.633,0.18
patch_0014557.png,84.69,0.693,0.184
patch_0018530.png,67.71,0.652,0.252
patch_0018942.png,94.91,0.649,0.182
patch_0031719.png,72.97,0.658,0.229
patch_0018297.png,76.62,0.445,0.212
patch_0006750.png,77.15,0.701,0.186
patch_0019370.png,76.89,0.458,0.3
patch_0015317.png,56.48,0.762,0.166
patch_0027872.png,38.63,0.68,0.337
patch_0010449.png,33.48,0.806,0.144
patch_0007110.png,96.95,0.259,0.113
patch_0030159.png,78.67,0.678,0.201
patch_0028900.png,68.79,0.724,0.153
patch_0016202.png,41.21,0.741,0.234
patch_0024515.png,80.03,0.668,0.2
patch_0024967.png,62.28,0.737,0.198
patch_0008062.png,31.3,0.828,0.149
patch_0017442.png,44.36,0.716,0.127
patch_0017830.png,63.55,0.773,0.165
patch_0020879.png,48.22,0.777,0.179
patch_0029332.png,100.0,0.309,0.214
patch_0025880.png,75.08,0.758,0.16
patch_0009622.png,89.51,0.498,0.272
patch_0029495.png,52.14,0.782,0.126
patch_0005645.png,89.03,0.582,0.233
patch_0002588.png,24.77,0.837,0.14
patch_0019711.png,100.0,0.348,0.188
patch_0027061.png,78.46,0.768,0.109
patch_0015776.png,96.78,0.341,0.238
patch_0030538.png,51.83,0.758,0.185
patch_0007571.png,58.96,0.765,0.155
patch_0007903.png,100.0,0.579,0.164
patch_0022098.png,56.18,0.79,0.129
patch_0014136.png,90.53,0.724,0.156
patch_0026621.png,14.83,0.855,0.102
patch_0011668.png,100.0,0.383,0.236
patch_0018151.png,20.91,0.835,0.121
patch_0026186.png,79.95,0.577,0.279
patch_0006331.png,92.31,0.293,0.141
patch_0031378.png,26.91,0.832,0.141
patch_0009996.png,99.59,0.465,0.173
patch_0017023.png,41.51,0.768,0.194
patch_0025734.png,41.52,0.753,0.206
patch_0005583.png,90.54,0.657,0.165
patch_0029753.png,95.4,0.633,0.129
patch_0017784.png,100.0,0.29,0.189
patch_0009243.png,100.0,0.518,0.217
patch_0025093.png,53.39,0.744,0.192
patch_0005224.png,78.54,0.693,0.165
patch_0000908.png,51.14,0.759,0.19
patch_0028113.png,74.69,0.547,0.285
patch_0024174.png,18.64,0.758,0.113
patch_0016663.png,28.26,0.776,0.274
patch_0004816.png,47.6,0.805,0.099
patch_0004464.png,47.92,0.764,0.182
patch_0008403.png,71.01,0.28,0.285
patch_0008871.png,42.83,0.797,0.148
patch_0008375.png,16.97,0.853,0.134
patch_0004312.png,25.41,0.699,0.119
patch_0024602.png,48.96,0.762,0.198
patch_0016115.png,82.46,0.699,0.187
patch_0005920.png,98.18,0.553,0.208
patch_0005552.png,34.68,0.785,0.117
patch_0029782.png,41.6,0.812,0.126
patch_0009535.png,65.53,0.759,0.162
patch_0009947.png,63.0,0.693,0.235
patch_0029025.png,57.98,0.705,0.223
patch_0009292.png,90.85,0.668,0.194
patch_0025042.png,18.75,0.859,0.091
patch_0006447.png,32.68,0.819,0.113
patch_0018180.png,85.73,0.641,0.21
patch_0003319.png,10.45,0.889,0.089
patch_0018627.png,79.24,0.369,0.293
patch_0023609.png,10.89,0.865,0.101
patch_0014640.png,99.5,0.564,0.236
patch_0026157.png,59.54,0.747,0.186
patch_0002559.png,24.39,0.834,0.13
patch_0007207.png,98.69,0.626,0.189
patch_0027717.png,57.11,0.661,0.245
patch_0015000.png,94.28,0.552,0.257
patch_0022049.png,85.75,0.669,0.208
patch_0019067.png,52.91,0.76,0.184
patch_0005133.png,98.71,0.647,0.19
patch_0025384.png,100.0,0.303,0.183
patch_0009154.png,39.74,0.807,0.143
patch_0029836.png,62.94,0.733,0.18
patch_0029444.png,59.49,0.66,0.265
patch_0005694.png,70.57,0.672,0.236
patch_0012818.png,45.31,0.795,0.139
patch_0025423.png,99.87,0.555,0.212
patch_0025851.png,99.32,0.205,0.196
patch_0017334.png,31.88,0.797,0.165
patch_0008714.png,100.0,0.482,0.185
patch_0004773.png,31.96,0.809,0.167
patch_0016574.png,28.61,0.814,0.137
